
Tracing route to 192.64.170.62 over a maximum of 30 hops

  1     1 ms     1 ms     2 ms  192.168.0.1 
  2    22 ms    23 ms    23 ms  CableLink-200-239-52-45.Hosts.Cablevision.com.mx [200.239.52.45] 
  3    14 ms    15 ms    15 ms  CableLink-200-239-52-45.Hosts.Cablevision.com.mx [200.239.52.45] 
  4    13 ms    20 ms    16 ms  10.119.255.22 
  5    14 ms    22 ms    16 ms  CableLink-200-239-52-37.Hosts.Cablevision.com.mx [200.239.52.37] 
  6    19 ms    24 ms    25 ms  be4352.nr21.b020377-1.mfe02.atlas.cogentco.com [38.104.176.69] 
  7    25 ms    18 ms    16 ms  be2979.rcr22.mfe02.atlas.cogentco.com [154.24.41.65] 
  8    18 ms    18 ms    17 ms  be3516.nr51.b020377-3.mfe02.atlas.cogentco.com [154.24.43.102] 
  9    60 ms    55 ms    60 ms  mdc-b1-link.telia.net [62.115.168.60] 
 10    61 ms    52 ms    51 ms  dls-b22-link.telia.net [62.115.116.61] 
 11    71 ms    64 ms    66 ms  kanc-b1-link.telia.net [62.115.125.158] 
 12    84 ms    80 ms    81 ms  chi-b21-link.telia.net [213.155.130.176] 
 13    80 ms    83 ms    78 ms  riot-ic-315569-chi-b21.c.telia.net [62.115.63.66] 
 14    78 ms    76 ms    79 ms  104.160.131.46 
 15    81 ms    81 ms    78 ms  104.160.131.101 
 16     *        *        *     Request timed out.
 17     *        *        *     Request timed out.
 18     *        *        *     Request timed out.
 19     *        *        *     Request timed out.
 20     *        *        *     Request timed out.
 21     *        *        *     Request timed out.
 22     *        *        *     Request timed out.
 23     *        *        *     Request timed out.
 24     *        *        *     Request timed out.
 25     *        *        *     Request timed out.
 26     *        *        *     Request timed out.
 27     *        *        *     Request timed out.
 28     *        *        *     Request timed out.
 29     *        *        *     Request timed out.
 30     *        *        *     Request timed out.

Trace complete.
